ds,y
2023-04-01,97.21348019931813
2023-05-01,92.53868345135069
2023-06-01,93.74508261211635
2023-07-01,94.44007343299245
2023-08-01,96.09231576186716
2023-09-01,97.82979281405703
2023-10-01,100.0
2023-11-01,99.38368738526086
2023-12-01,99.0820875950695
2024-01-01,94.3745082612117
2024-02-01,88.61132966168367
2024-03-01,86.00183582480986
2024-04-01,84.15945449777065
2024-05-01,80.19276160503527
2024-06-01,76.02937319695765
2024-07-01,73.9771833202202
2024-08-01,68.27956989247318
2024-09-01,62.61473905061628
2024-10-01,59.29714135851042
2024-11-01,52.75373721479138
2024-12-01,51.66535536323102
2025-01-01,47.213480199318006
2025-02-01,42.47967479674804
2025-03-01,37.745869394177845
2025-04-01,28.97980592709152
2025-05-01,25.24914765276675
2025-06-01,17.709152897980488
2025-07-01,12.044322056123818
2025-08-01,6.825334382375985
2025-09-01,0.0
